u00000000:('Miguel Costa', 'Natal/RN', (24, 8, 1992))
u00000064:('Carlos Castro', 'Recife/PE', (3, 7, 1997))
u00000065:('Mateus Veiga', 'Fortaleza/CE', (25, 9, 1981))
u00000066:('Marcos Rodrigues', 'Campo Grande/MS', (28, 3, 1993))
u00000067:('Carolina Martins', 'Maceio/AL', (7, 8, 2004))
u00000068:('Martim Jesus', 'Salvador/BA', (3, 2, 1996))
u00000069:('Beatriz Martins', 'Recife/PE', (20, 6, 2003))
u00000070:('Afonso Vaz', 'Belem/PA', (21, 11, 2000))
u00000071:('Juliana Albuquerque', 'Sao Paulo/SP', (22, 3, 1985))
u00000072:('Beatriz Castro', 'Salvador/BA', (6, 2, 1994))
u00000073:('Tatiana Coimbra', 'Rio de Janeiro/RJ', (24, 4, 2004))
u00000074:('Martim Veiga', 'Belo Horizonte/MG', (20, 9, 1988))
u00000075:('Rodrigo Almeida', 'Sao Goncalo/RJ', (9, 1, 1981))
u00000076:('Tiago Cruz', 'Porto Alegre/RS', (28, 2, 1992))
u00000077:('Bruno Lopes', 'Recife/PE', (27, 11, 1999))
u00000078:('Maria Nunes', 'Sao Goncalo/RJ', (10, 1, 1997))
u00000079:('Bruna Ferreira', 'Duque de Caxias/RJ', (27, 12, 1992))
u00000080:('Francisco Moreira', 'Manaus/AM', (20, 9, 1982))
u00000081:('Santiago Nunes', 'Brasilia/DF', (16, 3, 1999))
u00000082:('Carolina Pinto', 'Goiania/GO', (25, 11, 1983))
u00000083:('Francisco Gama', 'Sao Luis/MA', (25, 10, 1995))
u00000084:('Daniel Castro', 'Manaus/AM', (20, 11, 1984))
u00000085:('Laura Costa', 'Campo Grande/MS', (17, 2, 1998))
u00000086:('Francisco Pinto', 'Fortaleza/CE', (11, 3, 1982))
u00000087:('Joao Goncalves', 'Salvador/BA', (2, 12, 1994))
u00000088:('Diogo Pinto', 'Porto Alegre/RS', (13, 1, 1991))
u00000089:('Daniel Alves', 'Porto Alegre/RS', (18, 9, 1984))
u00000090:('Juliana Moreira', 'Duque de Caxias/RJ', (28, 5, 1988))
u00000091:('Francisca Carvalho', 'Natal/RN', (7, 7, 2002))
u00000092:('Edson Fernandes', 'Belo Horizonte/MG', (6, 11, 1993))
u00000093:('Tatiana Teixeira', 'Natal/RN', (8, 12, 1992))
u00000094:('Daniel Fernandes', 'Goiania/GO', (17, 1, 2000))
u00000095:('Carlos Nunes', 'Manaus/AM', (8, 12, 1985))
u00000096:('Laura Silva', 'Curitiba/PR', (24, 3, 2000))
u00000097:('Leonor Braga', 'Brasilia/DF', (17, 11, 2002))
u00000098:('Leonor Teixeira', 'Manaus/AM', (27, 6, 1987))
u00000099:('Beatriz Carvalho', 'Guarulhos/SP', (8, 1, 1989))
u00000100:('Rodrigo Braganca', 'Belem/PA', (21, 1, 1997))
u00000101:('Jose Cruz', 'Sao Goncalo/RJ', (16, 4, 1981))
u00000102:('Tatiana Rodrigues', 'Porto Alegre/RS', (24, 3, 1992))
u00000103:('Madalena Moreira', 'Duque de Caxias/RJ', (1, 4, 1986))
u00000104:('Martim Braganca', 'Sao Goncalo/RJ', (12, 7, 1998))
u00000105:('Elisa Rodrigues', 'Belem/PA', (12, 10, 1981))
u00000106:('Carlos Ferreira', 'Campo Grande/MS', (13, 12, 1987))
u00000107:('Madalena Castro', 'Manaus/AM', (14, 7, 2001))
u00000108:('Bruna Marques', 'Guarulhos/SP', (21, 2, 2001))
u00000109:('Carlos Moreira', 'Duque de Caxias/RJ', (24, 6, 1988))
u00000110:('Bruno Santos', 'Brasilia/DF', (25, 4, 1981))
u00000111:('Miguel Ferreira', 'Curitiba/PR', (5, 12, 1984))
u00000112:('Bruno Nunes', 'Natal/RN', (8, 7, 1991))
u00000113:('Laura Santos', 'Brasilia/DF', (3, 10, 1983))
u00000114:('Daniela Correia', 'Sao Luis/MA', (17, 12, 1988))
u00000115:('Rafael Ferreira', 'Porto Alegre/RS', (24, 1, 1982))
u00000116:('Carlos Ferreira', 'Porto Alegre/RS', (28, 3, 1988))
u00000117:('Madalena Guimaraes', 'Sao Goncalo/RJ', (13, 2, 1981))
u00000118:('Mariana Veiga', 'Duque de Caxias/RJ', (2, 11, 1980))
u00000119:('Tiago Ferreira', 'Sao Paulo/SP', (15, 9, 1998))
u00000120:('Bruna Albuquerque', 'Rio de Janeiro/RJ', (13, 5, 1980))
u00000121:('Mariana Silva', 'Salvador/BA', (16, 8, 1984))
u00000122:('Denise Braganca', 'Recife/PE', (1, 10, 1999))
u00000123:('Jose Goncalves', 'Recife/PE', (7, 3, 2001))
u00000124:('Paula Goncalves', 'Manaus/AM', (22, 6, 1999))
u00000125:('Santiago Silva', 'Sao Paulo/SP', (8, 3, 1993))
u00000126:('Sabrina Pinto', 'Sao Luis/MA', (4, 2, 1996))
u00000127:('Leonor Nunes', 'Duque de Caxias/RJ', (28, 8, 1982))
u00000128:('Madalena Lopes', 'Salvador/BA', (7, 7, 1991))
u00000129:('Santiago Ribeiro', 'Maceio/AL', (11, 4, 2002))
u00000130:('Ana Albuquerque', 'Maceio/AL', (13, 3, 1989))
u00000131:('Miguel Gomes', 'Curitiba/PR', (11, 6, 1983))
u00000132:('Fabio Guimaraes', 'Duque de Caxias/RJ', (8, 1, 1993))
u00000133:('Mateus Santos', 'Duque de Caxias/RJ', (11, 3, 1984))
u00000134:('Catarina Teixeira', 'Brasilia/DF', (21, 7, 1997))
u00000135:('Tatiana Guimaraes', 'Porto Alegre/RS', (1, 2, 2001))
u00000136:('Fabio Cruz', 'Fortaleza/CE', (15, 1, 1992))
u00000137:('Carlos Teixeira', 'Sao Paulo/SP', (25, 5, 1992))
u00000138:('Ana Santos', 'Salvador/BA', (13, 7, 1982))
u00000139:('Maria Albuquerque', 'Porto Alegre/RS', (4, 10, 1982))
u00000140:('Juliana Nunes', 'Curitiba/PR', (1, 12, 1994))
u00000141:('Paula Marques', 'Brasilia/DF', (15, 9, 1991))
u00000142:('Bruno Coimbra', 'Maceio/AL', (13, 9, 2000))
u00000143:('Edson Pinto', 'Duque de Caxias/RJ', (18, 9, 1984))
u00000144:('Elisa Almeida', 'Salvador/BA', (18, 6, 2003))
u00000145:('Beatriz Alvares', 'Goiania/GO', (2, 7, 2002))
u00000146:('Tiago Carvalho', 'Campinas/SP', (11, 8, 1981))
u00000147:('Beatriz Santos', 'Sao Goncalo/RJ', (8, 9, 1984))
u00000148:('Afonso Correia', 'Maceio/AL', (18, 10, 2002))
u00000149:('Pedro Rodrigues', 'Goiania/GO', (21, 6, 1986))
u00000150:('Carolina Marques', 'Curitiba/PR', (21, 10, 2004))
u00000151:('Maria Coimbra', 'Duque de Caxias/RJ', (14, 4, 1997))
u00000152:('Carlos Pinto', 'Sao Luis/MA', (12, 6, 1999))
u00000153:('Mateus Jesus', 'Campinas/SP', (3, 6, 1990))
u00000154:('Santiago Alvares', 'Guarulhos/SP', (23, 11, 1980))
u00000155:('Francisca Gama', 'Rio de Janeiro/RJ', (14, 1, 1982))
u00000156:('Miguel Marques', 'Brasilia/DF', (8, 2, 1994))
u00000157:('Catarina Jesus', 'Recife/PE', (20, 5, 1992))
u00000158:('Ana Oliveira', 'Sao Goncalo/RJ', (19, 2, 1989))
u00000159:('Daniel Gama', 'Sao Luis/MA', (13, 10, 1994))
u00000160:('Carlos Ferreira', 'Belo Horizonte/MG', (10, 8, 1992))
u00000161:('Tatiana Ribeiro', 'Sao Goncalo/RJ', (18, 6, 1983))
u00000162:('Daniel Teixeira', 'Porto Alegre/RS', (4, 9, 1995))
u00000163:('Bruno Braga', 'Campinas/SP', (18, 6, 1990))
u00000164:('Fabio Oliveira', 'Brasilia/DF', (20, 12, 1994))
u00000165:('Bruno Silva', 'Salvador/BA', (1, 3, 2002))
u00000166:('Joao Gama', 'Porto Alegre/RS', (23, 11, 1996))
u00000167:('Rodrigo Alvares', 'Natal/RN', (20, 8, 1991))
u00000168:('Francisco Braga', 'Sao Luis/MA', (4, 7, 1989))
u00000169:('Tomas Oliveira', 'Goiania/GO', (3, 4, 1988))
u00000170:('Pedro Braga', 'Manaus/AM', (8, 12, 1981))
u00000171:('Miguel Braga', 'Rio de Janeiro/RJ', (1, 12, 1995))
u00000172:('Daniel Braganca', 'Curitiba/PR', (7, 6, 1985))
u00000173:('Daniela Gomes', 'Belem/PA', (22, 10, 1980))
u00000174:('Bruna Silva', 'Belem/PA', (7, 12, 2000))
u00000175:('Ana Alvares', 'Manaus/AM', (26, 2, 1984))
u00000176:('Larissa Ribeiro', 'Salvador/BA', (24, 11, 1992))
u00000177:('Martim Ribeiro', 'Sao Luis/MA', (17, 11, 2001))
u00000178:('Rafael Pereira', 'Sao Goncalo/RJ', (18, 5, 1994))
u00000179:('Bruna Gama', 'Belo Horizonte/MG', (23, 8, 1987))
u00000180:('Elisa Santos', 'Rio de Janeiro/RJ', (7, 10, 1995))
u00000181:('Beatriz Jesus', 'Recife/PE', (4, 11, 1991))
u00000182:('Tomas Coimbra', 'Brasilia/DF', (5, 11, 1986))
u00000183:('Madalena Pinto', 'Porto Alegre/RS', (20, 1, 1997))
u00000184:('Marcos Alves', 'Belem/PA', (11, 7, 2000))
u00000185:('Elisa Braganca', 'Sao Paulo/SP', (10, 12, 1980))
u00000186:('Rodrigo Silva', 'Campinas/SP', (13, 7, 1991))
u00000187:('Pedro Albuquerque', 'Natal/RN', (20, 1, 1998))
u00000188:('Bruno Teixeira', 'Goiania/GO', (21, 10, 2001))
u00000189:('Jose Moreira', 'Campinas/SP', (25, 11, 2001))
u00000190:('Miguel Vaz', 'Belo Horizonte/MG', (7, 1, 1986))
u00000191:('Larissa Cruz', 'Guarulhos/SP', (14, 2, 1983))
u00000192:('Santiago Santos', 'Guarulhos/SP', (28, 1, 2004))
u00000193:('Catarina Marques', 'Maceio/AL', (11, 1, 1991))
u00000194:('Mariana Guimaraes', 'Manaus/AM', (1, 6, 1983))
u00000195:('Afonso Silva', 'Campo Grande/MS', (4, 2, 1991))
u00000196:('Madalena Mendes', 'Brasilia/DF', (12, 12, 1987))
u00000197:('Pedro Mendes', 'Fortaleza/CE', (28, 10, 1980))
u00000198:('Martim Goncalves', 'Porto Alegre/RS', (23, 9, 1982))
u00000199:('Santiago Braga', 'Duque de Caxias/RJ', (17, 4, 1994))
u00000200:('Francisco Vaz', 'Belo Horizonte/MG', (8, 6, 1983))
u00000201:('Joao Pereira', 'Sao Luis/MA', (13, 6, 1988))
u00000202:('Tiago Braga', 'Sao Paulo/SP', (1, 9, 2000))
u00000203:('Jose Ferreira', 'Goiania/GO', (2, 1, 1997))
u00000204:('Rafael Santos', 'Sao Luis/MA', (24, 2, 1998))
u00000205:('Beatriz Goncalves', 'Sao Goncalo/RJ', (23, 12, 1988))
u00000206:('Diogo Cruz', 'Sao Paulo/SP', (26, 3, 1980))
u00000207:('Afonso Coimbra', 'Maceio/AL', (24, 11, 1989))
u00000208:('Laura Alvares', 'Campo Grande/MS', (26, 11, 2003))
u00000209:('Francisca Castro', 'Sao Luis/MA', (12, 3, 1995))
u00000210:('Juliana Veiga', 'Duque de Caxias/RJ', (25, 9, 1982))
u00000211:('Daniel Braganca', 'Porto Alegre/RS', (17, 8, 1981))
u00000212:('Sabrina Gomes', 'Natal/RN', (14, 7, 2001))
u00000213:('Marcos Costa', 'Natal/RN', (21, 3, 1991))
u00000214:('Denise Almeida', 'Belem/PA', (17, 5, 1986))
u00000215:('Paula Oliveira', 'Porto Alegre/RS', (15, 12, 1996))
u00000216:('Carlos Pereira', 'Fortaleza/CE', (12, 2, 1987))
u00000217:('Bruna Braganca', 'Rio de Janeiro/RJ', (4, 5, 1992))
u00000218:('Edson Santos', 'Natal/RN', (10, 10, 1987))
u00000219:('Caio Vaz', 'Brasilia/DF', (8, 10, 2000))
u00000220:('Laura Coimbra', 'Belo Horizonte/MG', (15, 6, 2001))
u00000221:('Caio Moreira', 'Belem/PA', (14, 12, 1980))
u00000222:('Edson Alves', 'Porto Alegre/RS', (9, 12, 2001))
u00000223:('Francisca Gama', 'Sao Goncalo/RJ', (4, 6, 1984))
u00000224:('Bruna Pereira', 'Campinas/SP', (1, 10, 1982))
u00000225:('Beatriz Jesus', 'Belem/PA', (9, 2, 1990))
u00000226:('Edson Guimaraes', 'Salvador/BA', (2, 6, 1990))
u00000227:('Edson Fernandes', 'Brasilia/DF', (19, 2, 1989))
u00000228:('Mariana Cruz', 'Natal/RN', (15, 9, 1985))
u00000229:('Marcos Gomes', 'Goiania/GO', (5, 2, 2002))
u00000230:('Paula Cruz', 'Rio de Janeiro/RJ', (6, 1, 2004))
u00000231:('Martim Jesus', 'Rio de Janeiro/RJ', (26, 5, 2003))
u00000232:('Rodrigo Teixeira', 'Campinas/SP', (20, 8, 1998))
u00000233:('Carolina Sampaio', 'Salvador/BA', (22, 1, 1982))
u00000234:('Santiago Fernandes', 'Campo Grande/MS', (16, 3, 1999))
u00000235:('Joao Costa', 'Campo Grande/MS', (9, 10, 1997))
u00000236:('Francisca Teixeira', 'Duque de Caxias/RJ', (1, 7, 1987))
u00000237:('Rafael Santos', 'Curitiba/PR', (22, 2, 1997))
u00000238:('Laura Almeida', 'Salvador/BA', (9, 9, 1999))
u00000239:('Caio Alvares', 'Campinas/SP', (21, 2, 1988))
u00000240:('Elisa Coimbra', 'Natal/RN', (13, 9, 1992))
u00000241:('Catarina Veiga', 'Sao Luis/MA', (28, 2, 2003))
u00000242:('Joao Castro', 'Porto Alegre/RS', (18, 7, 1987))
u00000243:('Matilde Teixeira', 'Goiania/GO', (21, 1, 1997))
u00000244:('Francisca Mendes', 'Porto Alegre/RS', (18, 9, 1998))
u00000245:('Tomas Santos', 'Sao Goncalo/RJ', (18, 2, 1996))
u00000246:('Carolina Pinto', 'Curitiba/PR', (22, 8, 2004))
u00000247:('Daniela Silva', 'Campinas/SP', (2, 9, 1984))
u00000248:('Rodrigo Santos', 'Manaus/AM', (1, 1, 2000))
u00000249:('Afonso Nunes', 'Salvador/BA', (7, 10, 2003))
u00000250:('Joao Correia', 'Campo Grande/MS', (16, 7, 1983))
u00000251:('Laura Alvares', 'Natal/RN', (17, 3, 1986))
u00000252:('Tiago Castro', 'Natal/RN', (22, 10, 1992))
u00000253:('Carlos Coimbra', 'Brasilia/DF', (1, 5, 2002))
u00000254:('Edson Lopes', 'Fortaleza/CE', (28, 2, 1996))
u00000255:('Daniela Teixeira', 'Campo Grande/MS', (27, 11, 2004))
u00000256:('Bruno Guimaraes', 'Natal/RN', (2, 1, 1986))
u00000257:('Martim Braga', 'Goiania/GO', (24, 6, 1985))
u00000258:('Tiago Braga', 'Maceio/AL', (4, 5, 1994))
u00000259:('Bruno Ribeiro', 'Guarulhos/SP', (20, 3, 1986))
u00000260:('Rodrigo Moreira', 'Goiania/GO', (12, 3, 1989))
u00000261:('Miguel Gomes', 'Belem/PA', (21, 11, 1982))
u00000262:('Catarina Veiga', 'Sao Paulo/SP', (25, 1, 1980))
u00000263:('Jose Alves', 'Manaus/AM', (25, 9, 1994))
u00000264:('Miguel Castro', 'Maceio/AL', (28, 9, 1991))
u00000265:('Denise Veiga', 'Goiania/GO', (20, 11, 2004))
u00000266:('Fatima Cruz', 'Curitiba/PR', (10, 3, 2001))
u00000267:('Paula Martins', 'Goiania/GO', (14, 2, 1983))
u00000268:('Martim Oliveira', 'Recife/PE', (13, 6, 1983))
u00000269:('Mateus Jesus', 'Goiania/GO', (7, 3, 1987))
u00000270:('Fabio Martins', 'Sao Luis/MA', (16, 1, 1982))
u00000271:('Tomas Pinto', 'Recife/PE', (20, 4, 1996))
u00000272:('Francisca Ferreira', 'Campo Grande/MS', (26, 3, 1990))
u00000273:('Tomas Fernandes', 'Guarulhos/SP', (27, 4, 1985))
u00000274:('Daniel Carvalho', 'Campinas/SP', (16, 3, 1994))
u00000275:('Francisco Souza', 'Recife/PE', (7, 5, 1981))
u00000276:('Marcos Jesus', 'Rio de Janeiro/RJ', (9, 4, 1987))
u00000277:('Leonor Mendes', 'Curitiba/PR', (21, 10, 1986))
u00000278:('Juliana Braganca', 'Recife/PE', (15, 6, 1992))
u00000279:('Afonso Pinto', 'Duque de Caxias/RJ', (18, 12, 1982))
u00000280:('Francisco Alves', 'Natal/RN', (7, 7, 1984))
u00000281:('Santiago Moreira', 'Campo Grande/MS', (9, 8, 1983))
u00000282:('Denise Gomes', 'Belo Horizonte/MG', (4, 1, 1990))
u00000283:('Pedro Coimbra', 'Maceio/AL', (5, 2, 1990))
u00000284:('Tomas Teixeira', 'Sao Luis/MA', (20, 9, 1984))
u00000285:('Edson Nunes', 'Sao Paulo/SP', (6, 5, 1989))
u00000286:('Fatima Mendes', 'Fortaleza/CE', (19, 11, 1980))
u00000287:('Edson Ribeiro', 'Maceio/AL', (16, 6, 1990))
u00000288:('Matilde Costa', 'Belem/PA', (27, 5, 1995))
u00000289:('Tiago Castro', 'Campo Grande/MS', (25, 10, 1988))
u00000290:('Rafael Braganca', 'Campo Grande/MS', (19, 7, 1980))
u00000291:('Jose Almeida', 'Recife/PE', (3, 7, 1993))
u00000292:('Jose Pinto', 'Fortaleza/CE', (19, 12, 1992))
u00000293:('Daniel Costa', 'Manaus/AM', (10, 1, 1984))
u00000294:('Rafael Oliveira', 'Sao Paulo/SP', (22, 2, 1997))
u00000295:('Carlos Marques', 'Rio de Janeiro/RJ', (26, 8, 1982))
u00000296:('Catarina Alves', 'Duque de Caxias/RJ', (4, 1, 2002))
u00000297:('Rodrigo Guimaraes', 'Sao Paulo/SP', (14, 4, 1982))
u00000298:('Matilde Coimbra', 'Maceio/AL', (22, 5, 1985))
u00000299:('Santiago Gomes', 'Brasilia/DF', (14, 2, 2004))
u00000300:('Carlos Cruz', 'Manaus/AM', (15, 11, 1996))
u00000301:('Catarina Guimaraes', 'Sao Paulo/SP', (20, 4, 1991))
u00000302:('Fabio Cruz', 'Belem/PA', (5, 7, 1997))
u00000303:('Sabrina Oliveira', 'Campinas/SP', (24, 4, 1995))
u00000304:('Beatriz Pereira', 'Manaus/AM', (17, 9, 1984))
u00000305:('Matilde Jesus', 'Belem/PA', (1, 12, 1989))
u00000306:('Matilde Lopes', 'Rio de Janeiro/RJ', (3, 12, 2003))
u00000307:('Edson Guimaraes', 'Fortaleza/CE', (1, 6, 1992))
u00000308:('Tiago Gomes', 'Campinas/SP', (3, 3, 1991))
u00000309:('Larissa Alvares', 'Rio de Janeiro/RJ', (21, 6, 1986))
u00000310:('Larissa Vaz', 'Fortaleza/CE', (2, 12, 2004))
u00000311:('Francisco Marques', 'Duque de Caxias/RJ', (25, 4, 1991))
u00000312:('Mateus Braganca', 'Rio de Janeiro/RJ', (8, 6, 1998))
u00000313:('Edson Oliveira', 'Campinas/SP', (24, 9, 2000))
u00000314:('Sabrina Braga', 'Belem/PA', (3, 9, 1980))
u00000315:('Denise Nunes', 'Duque de Caxias/RJ', (15, 2, 1982))
u00000316:('Carlos Lopes', 'Salvador/BA', (19, 5, 1991))
u00000317:('Carolina Veiga', 'Campinas/SP', (13, 2, 2002))
u00000318:('Leonor Guimaraes', 'Maceio/AL', (18, 12, 1997))
u00000319:('Mariana Silva', 'Salvador/BA', (6, 3, 2000))
u00000320:('Carlos Oliveira', 'Fortaleza/CE', (18, 5, 1980))
u00000321:('Francisco Gama', 'Porto Alegre/RS', (24, 12, 1993))
u00000322:('Marcos Pinto', 'Recife/PE', (8, 1, 1995))
u00000323:('Joao Vaz', 'Rio de Janeiro/RJ', (5, 8, 1995))
u00000324:('Denise Correia', 'Maceio/AL', (27, 6, 1990))
u00000325:('Tiago Alvares', 'Sao Goncalo/RJ', (5, 2, 1982))
u00000326:('Mariana Carvalho', 'Porto Alegre/RS', (8, 3, 2000))
u00000327:('Rafael Lopes', 'Sao Paulo/SP', (25, 9, 2004))
u00000328:('Rodrigo Jesus', 'Porto Alegre/RS', (19, 3, 1983))
u00000329:('Pedro Gomes', 'Guarulhos/SP', (6, 1, 1982))
u00000330:('Diogo Costa', 'Campinas/SP', (15, 1, 1992))
u00000331:('Elisa Pinto', 'Sao Luis/MA', (9, 7, 2000))
u00000332:('Beatriz Silva', 'Brasilia/DF', (4, 4, 1984))
u00000333:('Martim Pinto', 'Brasilia/DF', (22, 8, 1987))
u00000334:('Jose Braganca', 'Rio de Janeiro/RJ', (19, 5, 1989))
u00000335:('Tiago Pinto', 'Recife/PE', (12, 12, 2003))
u00000336:('Mateus Gomes', 'Curitiba/PR', (1, 1, 2001))
u00000337:('Elisa Rodrigues', 'Campinas/SP', (11, 2, 1991))
u00000338:('Carlos Gomes', 'Campo Grande/MS', (21, 6, 1992))
u00000339:('Leonor Goncalves', 'Manaus/AM', (21, 6, 1986))
u00000340:('Elisa Gomes', 'Campinas/SP', (5, 10, 1990))
u00000341:('Bruno Pinto', 'Maceio/AL', (21, 5, 1995))
u00000342:('Matilde Alves', 'Duque de Caxias/RJ', (8, 5, 1985))
u00000343:('Juliana Jesus', 'Belem/PA', (18, 2, 2003))
u00000344:('Francisca Martins', 'Campo Grande/MS', (4, 11, 2000))
u00000345:('Laura Gomes', 'Salvador/BA', (9, 11, 1998))
u00000346:('Caio Rodrigues', 'Belem/PA', (6, 1, 1984))
u00000347:('Ana Rodrigues', 'Rio de Janeiro/RJ', (7, 9, 1999))
u00000348:('Juliana Rodrigues', 'Sao Goncalo/RJ', (11, 2, 2004))
u00000349:('Beatriz Pinto', 'Maceio/AL', (1, 4, 1987))
u00000350:('Madalena Carvalho', 'Goiania/GO', (28, 5, 2001))
u00000351:('Tatiana Rodrigues', 'Fortaleza/CE', (2, 11, 1998))
u00000352:('Diogo Gama', 'Belem/PA', (22, 8, 1994))
u00000353:('Fabio Mendes', 'Maceio/AL', (28, 3, 1981))
u00000354:('Elisa Alvares', 'Curitiba/PR', (15, 9, 1980))
u00000355:('Francisco Vaz', 'Goiania/GO', (8, 12, 1986))
u00000356:('Jose Albuquerque', 'Belem/PA', (3, 12, 2003))
u00000357:('Martim Teixeira', 'Porto Alegre/RS', (23, 7, 1987))
u00000358:('Diogo Lopes', 'Salvador/BA', (27, 2, 1985))
u00000359:('Tiago Gomes', 'Manaus/AM', (9, 6, 2004))
u00000360:('Juliana Ribeiro', 'Brasilia/DF', (18, 3, 1995))
u00000361:('Edson Correia', 'Salvador/BA', (7, 3, 1991))
u00000362:('Mariana Braganca', 'Recife/PE', (28, 9, 2000))
u00000363:('Marcos Nunes', 'Manaus/AM', (3, 2, 2002))
u00000364:('Tomas Moreira', 'Brasilia/DF', (1, 2, 1999))
u00000365:('Larissa Goncalves', 'Brasilia/DF', (3, 2, 1998))
u00000366:('Elisa Guimaraes', 'Maceio/AL', (19, 7, 2001))
u00000367:('Paula Santos', 'Curitiba/PR', (15, 1, 1985))
u00000368:('Beatriz Guimaraes', 'Sao Paulo/SP', (6, 12, 2001))
u00000369:('Pedro Silva', 'Manaus/AM', (26, 2, 2004))
u00000370:('Carlos Marques', 'Rio de Janeiro/RJ', (19, 1, 1986))
u00000371:('Rafael Costa', 'Guarulhos/SP', (2, 5, 2000))
